Date,Adj Close,Close,High,Low,Open,Volume,Returns,MA50
2020-01-01,672.2161254882812,690.1383056640625,698.1387329101562,688.2639770507812,693.978515625,14004468,,
2020-01-02,683.6602783203125,701.8875122070312,704.4705200195312,691.2355346679688,691.2355346679688,17710316,0.017024513989036594,
2020-01-03,684.4839477539062,702.7332763671875,704.79052734375,696.2643432617188,700.8359985351562,20984698,0.0012047934620649237,
2020-01-06,668.609375,686.435302734375,698.5044555664062,684.835205078125,694.8928833007812,24519177,-0.023192030734975888,
2020-01-07,678.8956909179688,696.995849609375,701.5217895507812,691.9212646484375,694.4356689453125,16683622,0.015384642068425602,
2020-01-08,673.7970581054688,691.7612915039062,701.4989013671875,690.3212280273438,692.6070556640625,16047902,-0.007510185851387408,
2020-01-09,689.3154907226562,707.6935424804688,708.6078491210938,700.0360107421875,703.3961791992188,14982742,0.023031315483657666,
2020-01-10,689.1595458984375,707.5335083007812,712.2423095703125,703.8761596679688,709.4764404296875,12478359,-0.00022623142279198927,
2020-01-13,687.400634765625,705.7277221679688,712.585205078125,703.3047485351562,706.3449096679688,18282382,-0.0025522553424395245,
2020-01-14,681.032958984375,699.1902465820312,708.6078491210938,695.7386474609375,704.0361938476562,15816535,-0.009263412716255526,
2020-01-15,678.5617065429688,696.6529541015625,703.990478515625,694.0928344726562,702.1389770507812,15817859,-0.0036286825898875774,
2020-01-16,684.8179321289062,703.0761108398438,705.5676879882812,698.5501708984375,699.0073852539062,12847975,0.009219832957876095,
2020-01-17,704.0101318359375,722.780029296875,724.5858154296875,710.07080078125,710.2079467773438,29463471,0.028025258695209887,
2020-01-20,682.3467407226562,700.5388793945312,735.5806884765625,697.8187255859375,735.5806884765625,32545850,-0.030771419520322585,
2020-01-21,683.0369262695312,701.2474975585938,706.7106323242188,695.8071899414062,698.8245239257812,18922720,0.0010114880099580947,
2020-01-22,682.7919921875,700.9960327148438,707.1220703125,699.9674072265625,705.8648681640625,10322817,-0.0003585956668096246,
2020-01-23,679.8975219726562,698.0244750976562,704.9276733398438,695.212890625,702.4360961914062,11247739,-0.004239168367470958,
2020-01-24,677.5374755859375,695.6015014648438,702.3675537109375,694.22998046875,698.093017578125,14628445,-0.0034711795681668933,
2020-01-27,670.8580932617188,688.7439575195312,696.92724609375,688.0353393554688,692.5613403320312,13387750,-0.009858321590908936,
2020-01-28,655.36181640625,672.8345947265625,690.3212280273438,669.1087036132812,689.68115234375,24532236,-0.02309918746023576,
2020-01-29,658.96875,676.5376586914062,683.1893920898438,669.3143920898438,673.8860473632812,24746565,0.005503728632725302,
2020-01-30,642.8935546875,660.033935546875,676.4690551757812,658.319580078125,676.1490478515625,22402689,-0.024394472897994013,
2020-01-31,628.5996704101562,645.35888671875,664.3770141601562,643.3245239257812,664.2626953125,34750310,-0.022233671769025243,
2020-02-03,616.9552001953125,633.4039916992188,640.0100708007812,623.140625,626.272216796875,30712290,-0.01852446121590523,
2020-02-04,635.167724609375,652.1021118164062,654.8908081054688,639.0271606445312,640.0328979492188,25383901,0.029520011190920847,
2020-02-05,645.0086669921875,662.2054443359375,664.1712646484375,653.8850708007812,655.9879760742188,18472100,0.01549345472310426,
2020-02-06,649.1499633789062,666.4570922851562,670.6630249023438,658.3652954101562,664.765625,15538577,0.006420528279147852,
2020-02-07,638.3961181640625,655.4165649414062,663.965576171875,652.970703125,663.348388671875,12209212,-0.01656604147194074,
2020-02-10,639.2643432617188,656.3080444335938,660.833984375,644.810302734375,652.8335571289062,15142476,0.0013600099890223039,
2020-02-11,646.9011840820312,664.1484375,670.2973022460938,660.6282348632812,661.7025756835938,13999816,0.011946295614341684,
2020-02-12,654.7161865234375,672.1716918945312,674.2518310546875,665.1770629882812,665.7028198242188,13533565,0.012080674195234176,
2020-02-13,656.4304809570312,673.9317626953125,675.5775756835938,668.6514892578125,675.5775756835938,13565659,0.002618377961138618,
