Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,619.7403564453125,736.8499755859375,740.0,732.5499877929688,735.0,2112415
2020-01-02,617.9320068359375,734.7000122070312,740.7999877929688,730.9000244140625,738.9000244140625,5658200
2020-01-03,627.43603515625,746.0,748.0,733.9000244140625,733.9000244140625,7882938
2020-01-06,621.4224243164062,738.8499755859375,753.7999877929688,736.5,746.0999755859375,6519403
2020-01-07,612.2127685546875,727.9000244140625,742.5999755859375,725.0999755859375,738.0,7899363
2020-01-08,604.0545043945312,718.2000122070312,729.0,708.2999877929688,724.9500122070312,8639443
2020-01-09,611.9183349609375,727.5499877929688,731.5,714.2999877929688,721.7000122070312,13521186
2020-01-10,620.833740234375,738.1500244140625,742.9000244140625,730.5,740.4500122070312,9341405
2020-01-13,650.607421875,773.5499877929688,777.5,755.0,760.0,36952038
2020-01-14,652.373779296875,775.6500244140625,776.9500122070312,767.2000122070312,769.9500122070312,11414418
2020-01-15,645.5609741210938,767.5499877929688,773.8499755859375,762.1500244140625,773.8499755859375,6047430
2020-01-16,645.0985107421875,767.0,772.5,760.25,770.7000122070312,5740586
2020-01-17,645.8134765625,767.8499755859375,772.9000244140625,762.25,770.7000122070312,3762957
2020-01-20,646.3180541992188,768.4500122070312,774.4000244140625,762.9500122070312,771.5999755859375,3887680
2020-01-21,641.3135986328125,762.5,770.5,760.75,768.4500122070312,4448374
2020-01-22,647.7899780273438,770.2000122070312,778.0,766.0,768.4500122070312,9733935
2020-01-23,659.6910400390625,784.3499755859375,785.5,776.7000122070312,777.0999755859375,12528017
2020-01-24,658.3453369140625,782.75,786.5,773.5999755859375,775.75,7540490
2020-01-27,654.4343872070312,778.0999755859375,784.7999877929688,774.4000244140625,779.0499877929688,3741610
2020-01-28,654.3501586914062,778.0,781.7999877929688,772.0,781.0,5121009
2020-01-29,664.1907348632812,789.7000122070312,792.7999877929688,784.25,786.5999755859375,6832757
2020-01-30,656.6211547851562,780.7000122070312,789.7000122070312,778.0,789.7000122070312,3859680
2020-01-31,652.6259765625,775.9500122070312,784.9500122070312,771.5999755859375,780.5499877929688,6092028
2020-02-03,645.4349365234375,767.4000244140625,790.9500122070312,764.5,782.0,6416745
2020-02-04,662.634765625,787.8499755859375,789.9000244140625,770.0999755859375,770.0999755859375,5771311
2020-02-05,659.8591918945312,784.5499877929688,786.0,774.4000244140625,781.0,6310409
2020-02-06,648.7570190429688,771.3499755859375,786.7999877929688,770.0,784.3499755859375,7341622
2020-02-07,653.7614135742188,777.2999877929688,778.8499755859375,771.0,775.9500122070312,2853344
2020-02-10,650.3131713867188,773.2000122070312,778.0,769.75,774.0,3827682
2020-02-11,650.607421875,773.5499877929688,779.0999755859375,769.2000122070312,779.0,4312817
2020-02-12,656.9154663085938,781.0499877929688,783.25,775.0999755859375,775.7999877929688,2948825
2020-02-13,666.3355102539062,792.25,794.0,782.2000122070312,785.0,4387430
2020-02-14,661.4572143554688,786.4500122070312,799.2000122070312,784.5999755859375,794.5,5321680
2020-02-17,663.98046875,789.4500122070312,793.4500122070312,783.2999877929688,790.2999877929688,2929629
2020-02-18,670.8772583007812,797.6500244140625,799.0499877929688,783.6500244140625,785.0,5083346
2020-02-19,673.2322387695312,800.4500122070312,804.8499755859375,796.1500244140625,800.0,3985192
2020-02-20,670.33056640625,797.0,806.0999755859375,793.8499755859375,803.25,4564569
2020-02-24,669.3631591796875,795.8499755859375,811.5999755859375,792.1500244140625,800.0999755859375,6627536
2020-02-25,671.508056640625,798.4000244140625,806.0,795.4000244140625,799.0,6996695
2020-02-26,658.3453369140625,782.75,801.4500122070312,780.5,793.9500122070312,8760569
2020-02-27,654.2240600585938,777.8499755859375,780.75,772.2000122070312,778.0,5223386
2020-02-28,615.4088134765625,731.7000122070312,756.7999877929688,722.0499877929688,750.0,14123957
2020-03-02,623.2727661132812,741.0499877929688,765.9000244140625,733.75,737.0,9821523
2020-03-03,628.277099609375,747.0,759.0,741.25,755.0,7826587
2020-03-04,638.1597290039062,758.75,761.5,745.5499877929688,753.9000244140625,11013444
2020-03-05,634.6692504882812,754.5999755859375,773.5499877929688,751.75,763.75,7755293
